2026-03-13 00:46:27.132 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 00:46:27.159 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 00:46:27.277 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:8ms 获取用户上传文件成功
2026-03-13 00:54:17.332 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 00:54:17.368 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 00:54:17.469 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:16ms 获取用户上传文件成功
2026-03-13 01:00:06.299 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:32ms 分片上传成功
2026-03-13 01:00:06.554 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:44ms 文件合并成功
2026-03-13 01:00:07.913 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [PREVIEW_FILE_BY_NAME] 耗时:44ms 文件预览内容获取成功
2026-03-13 01:00:27.366 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:54ms 分片上传成功
2026-03-13 01:00:27.726 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:36ms 文件合并成功
2026-03-13 01:00:42.109 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:00:53.428 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:00:53.782 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:15ms 获取用户上传文件成功
